price_amount,makeid,manufacturerprice,km,vehicleyear,etiqueta_type_id,provinceid,horsepower,maxspeed,acceleration,combustible_type_id,body_type_id,transmision_type_id,doors,seatingcapacity,colores_type_id,dimensionsinmillimeterswidth,dimensionsinmillimetersheight,dimensionsinmillimeterslength,weight,tankcapacityinliters,trunkcapacityinliters,consumptionurban,consumptionmixed,consumptionextraurban,co2emissionsgramsperkm,batteryvoltage,batterykwh,chargingtime,chargingtimefast
21890.0,105.0,38012.0,54866.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.6,341.0,2.54,0.9400000000000001,2.98,45.6,323.0,35.8,1020.0,45.0
23490.0,105.0,46532.0,58011.0,2018.0,4.0,28.0,218.0,225.0,7.4,5.0,1.0,1.0,4.0,5.0,2.0,1832.0,1476.0,4767.0,1722.0,50.0,402.0,2.54,1.8,2.98,40.0,353.0,9.9,255.0,46.8
17500.0,105.0,38012.0,45000.0,2017.0,5.0,38.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.8,341.0,2.54,1.42,2.98,39.0,323.0,35.8,1020.0,45.0
24400.0,10.0,36705.0,29000.0,2020.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,9.0,1785.0,1426.0,4311.0,1630.0,40.0,280.0,3.16,1.42,3.4,43.0,214.6,13.0,225.0,380.0
22490.0,105.0,40250.0,114000.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.8,2.88,38.0,352.0,8.7,210.0,150.0
22499.0,105.0,48658.0,99000.0,2019.0,4.0,28.0,218.0,181.0,9.879999999999999,5.0,1.0,1.0,4.0,5.0,6.0,1832.0,1483.0,4775.0,1730.0,50.0,586.0,2.08,1.8,2.56,36.0,353.0,9.9,315.0,26.0
20490.0,10.0,38700.0,94815.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1785.0,1426.0,4311.0,1615.0,40.0,280.0,2.46,1.0799999999999998,2.7199999999999998,36.0,276.6,8.8,225.0,105.0
22900.0,105.0,48658.0,163000.0,2019.0,4.0,28.0,218.0,201.0,8.440000000000001,5.0,1.0,1.0,4.0,5.0,6.0,1832.0,1483.0,4775.0,1730.0,50.0,586.0,2.46,1.8,3.4,36.0,353.0,9.9,951.0,32.4
18650.0,105.0,35500.0,56426.0,2014.0,4.0,6.0,115.0,140.0,10.4,3.0,1.0,1.0,5.0,5.0,4.0,1799.0,1450.0,4270.0,1585.0,39.2,341.0,2.46,1.14,2.98,37.6,323.0,24.2,780.0,30.0
22499.0,105.0,46532.0,99000.0,2018.0,4.0,28.0,218.0,225.0,7.4,5.0,1.0,1.0,4.0,5.0,2.0,1832.0,1476.0,4767.0,1722.0,50.0,402.0,2.08,1.8,2.72,40.0,353.0,9.9,255.0,76.0
23399.0,105.0,48658.0,70876.0,2019.0,4.0,28.0,218.0,179.0,10.6,5.0,1.0,1.0,4.0,5.0,6.0,1832.0,1483.0,4775.0,1730.0,50.0,586.0,2.46,1.8399999999999999,2.98,36.0,353.0,9.9,309.0,30.0
22890.0,15.0,53950.0,74473.0,2020.0,3.0,28.0,292.0,230.0,5.9,5.0,1.0,1.0,4.0,5.0,4.0,1827.0,1444.0,4709.0,1815.0,40.0,480.0,2.54,2.12,2.98,37.0,3.0,11.5,306.0,30.0
21890.0,105.0,38012.0,59999.0,2017.0,5.0,8.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,2.46,1.1800000000000002,2.98,46.8,323.0,35.8,1020.0,45.0
22490.0,105.0,40250.0,133000.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.8,0.96,2.88,38.0,352.0,8.7,210.0,150.0
22499.0,105.0,46532.0,99000.0,2018.0,4.0,28.0,218.0,225.0,7.4,5.0,1.0,1.0,4.0,5.0,2.0,1832.0,1476.0,4767.0,1722.0,50.0,402.0,2.08,1.8,2.72,40.0,353.0,9.9,255.0,76.0
